"","Feeder_Interval_in_seconds","Subject","date","Weight","session_consumption","sess_consump_g_per_kg","total_daily_water","overnight_consumption","mean_sess_consump"
"447","NA (baseline or weekend)","Bernie",2023-11-25,4.45,121,27.1910112359551,224,103,111.75
"448","NA (baseline or weekend)","Bernie",2023-11-26,4.45,143,32.1348314606742,235,92,111.75
"449","300","Bernie",2023-11-27,4.35,144,33.1034482758621,193,49,154.666666666667
"450","300","Bernie",2023-11-28,4.35,NA,NA,NA,NA,154.666666666667
"451","300","Bernie",2023-11-29,4.35,149,34.2528735632184,189,40,154.666666666667
"452","300","Bernie",2023-11-30,4.35,171,39.3103448275862,208,37,154.666666666667
"453","300","Bernie",2023-12-01,4.35,NA,NA,NA,NA,154.666666666667
"454","NA (baseline or weekend)","Bernie",2023-12-02,4.35,157,36.0919540229885,227,70,111.75
"455","NA (baseline or weekend)","Bernie",2023-12-03,4.35,114,26.2068965517241,233,119,111.75
"456","NA (baseline or weekend)","Bernie",2023-12-04,4.4,238,54.0909090909091,NA,NA,111.75
"457","NA (baseline or weekend)","Bernie",2023-12-05,4.4,216,49.0909090909091,266,50,111.75
"458","NA (baseline or weekend)","Bernie",2023-12-06,4.4,145,32.9545454545455,177,32,111.75
"459","NA (baseline or weekend)","Bernie",2023-12-07,4.4,227,51.5909090909091,296,69,111.75
"460","NA (baseline or weekend)","Bernie",2023-12-08,4.4,153,34.7727272727273,218,65,111.75
"461","NA (baseline or weekend)","Bernie",2023-12-09,4.4,NA,NA,NA,NA,111.75
"462","NA (baseline or weekend)","Bernie",2023-12-10,4.4,191,43.4090909090909,NA,NA,111.75
